id,sequence
fmml0_si1670,諆
fmml0_si2300,諆
fmml0_sx140,諆
fmml0_sx230,諆
fmml0_sx320,諆
fmml0_sx410,諆
fmml0_sx50,諆
fnmr0_si1399,諆
fnmr0_si2029,諆
fnmr0_si769,諆
fnmr0_sx139,諆
fnmr0_sx229,諆
fnmr0_sx319,諆
fnmr0_sx409,諆
fnmr0_sx49,諆
frew0_si1030,諆
frew0_si1280,諆
frew0_si1910,諆
frew0_sx110,諆
frew0_sx200,諆
frew0_sx290,諆
frew0_sx380,諆
fsem0_si1198,諆
fsem0_si1828,諆
fsem0_si568,諆
fsem0_sx118,諆
fsem0_sx208,諆
fsem0_sx298,諆
fsem0_sx388,諆
majc0_si1946,諆
majc0_si2095,諆
majc0_si835,諆
majc0_sx115,諆
majc0_sx205,諆
majc0_sx295,諆
majc0_sx385,諆
mbdg0_si1463,諆
mbdg0_si2093,諆
mbdg0_si833,諆
mbdg0_sx113,諆
mbdg0_sx203,諆
mbdg0_sx293,諆
mbdg0_sx383,諆
mbns0_si1220,諆
mbns0_si1850,諆
mbns0_si590,諆
mbns0_sx140,諆
mbns0_sx230,諆
mbns0_sx320,諆
mbns0_sx410,諆
mbns0_sx50,諆
mbwm0_si1304,諆
mbwm0_si1934,諆
mbwm0_si674,諆
mbwm0_sx134,諆
mbwm0_sx224,諆
mbwm0_sx314,諆
mbwm0_sx404,諆
mcsh0_si1549,諆
mcsh0_si2179,諆
mcsh0_si919,諆
mcsh0_sx109,諆
mcsh0_sx199,諆
mcsh0_sx289,諆
mcsh0_sx379,諆
mdlf0_si1583,諆
mdlf0_si2213,諆
mdlf0_si953,諆
mdlf0_sx143,諆
mdlf0_sx233,諆
mdlf0_sx323,諆
mdlf0_sx413,諆
mdlf0_sx53,諆
mdls0_si1628,諆
mdls0_si2258,諆
mdls0_si998,諆
mdls0_sx188,諆
mdls0_sx278,諆
mdls0_sx368,諆
mdls0_sx98,諆
mdvc0_si2174,諆
mdvc0_si2196,諆
mdvc0_si936,諆
mdvc0_sx126,諆
mdvc0_sx216,諆
mdvc0_sx306,諆
mdvc0_sx396,諆
mers0_si1019,諆
mers0_si1649,諆
mers0_si497,諆
mers0_sx119,諆
mers0_sx209,諆
mers0_sx299,諆
mers0_sx389,諆
mgjf0_si1901,諆
mgjf0_si641,諆
mgjf0_si776,諆
mgjf0_sx101,諆
mgjf0_sx191,諆
mgjf0_sx281,諆
mgjf0_sx371,諆
mglb0_si1534,諆
mglb0_si2164,諆
mglb0_si904,諆
mglb0_sx184,諆
mglb0_sx274,諆
mglb0_sx364,諆
mglb0_sx94,諆
mgwt0_si1539,諆
mgwt0_si2169,諆
mgwt0_si909,諆
mgwt0_sx189,諆
mgwt0_sx279,諆
mgwt0_sx369,諆
mgwt0_sx99,諆
mjar0_si1988,諆
mjar0_si2247,諆
mjar0_si728,諆
mjar0_sx188,諆
mjar0_sx278,諆
mjar0_sx368,諆
mjar0_sx98,諆
mjfc0_si1033,諆
mjfc0_si1663,諆
mjfc0_si2293,諆
mjfc0_sx133,諆
mjfc0_sx223,諆
mjfc0_sx313,諆
mjfc0_sx403,諆
mjsw0_si1010,諆
mjsw0_si1640,諆
mjsw0_si2270,諆
mjsw0_sx110,諆
mjsw0_sx200,諆
mjsw0_sx290,諆
mjsw0_sx380,諆
mmdb1_si1625,諆
mmdb1_si2255,諆
mmdb1_si995,諆
mmdb1_sx185,諆
mmdb1_sx275,諆
mmdb1_sx365,諆
mmdb1_sx95,諆
mmdm2_si1452,諆
mmdm2_si1555,諆
mmdm2_si2082,諆
mmdm2_sx102,諆
mmdm2_sx192,諆
mmdm2_sx282,諆
mmdm2_sx372,諆
mmjr0_si1648,諆
mmjr0_si2166,諆
mmjr0_si2278,諆
mmjr0_sx118,諆
mmjr0_sx208,諆
mmjr0_sx298,諆
mmjr0_sx388,諆
mmwh0_si1089,諆
mmwh0_si1301,諆
mmwh0_si459,諆
mmwh0_sx189,諆
mmwh0_sx279,諆
mmwh0_sx369,諆
mmwh0_sx99,諆
mpdf0_si1542,諆
mpdf0_si2172,諆
mpdf0_si912,諆
mpdf0_sx102,諆
mpdf0_sx192,諆
mpdf0_sx282,諆
mpdf0_sx372,諆
mrcs0_si1223,諆
mrcs0_si1853,諆
mrcs0_si593,諆
mrcs0_sx143,諆
mrcs0_sx233,諆
mrcs0_sx323,諆
mrcs0_sx413,諆
mrcs0_sx53,諆
mreb0_si1375,諆
mreb0_si2005,諆
mreb0_si745,諆
mreb0_sx115,諆
mreb0_sx205,諆
mreb0_sx295,諆
mreb0_sx385,諆
mrjm4_si1489,諆
mrjm4_si2119,諆
mrjm4_si859,諆
mrjm4_sx139,諆
mrjm4_sx229,諆
mrjm4_sx319,諆
mrjm4_sx409,諆
mrjm4_sx49,諆
mrjr0_si1182,諆
mrjr0_si1812,諆
mrjr0_si2313,諆
mrjr0_sx102,諆
mrjr0_sx192,諆
mrjr0_sx282,諆
mrjr0_sx372,諆
mroa0_si1307,諆
mroa0_si1970,諆
mroa0_si677,諆
mroa0_sx137,諆
mroa0_sx227,諆
mroa0_sx317,諆
mroa0_sx407,諆
mroa0_sx47,諆
mrtk0_si1093,諆
mrtk0_si1723,諆
mrtk0_si1750,諆
mrtk0_sx103,諆
mrtk0_sx193,諆
mrtk0_sx283,諆
mrtk0_sx373,諆
mrws1_si1130,諆
mrws1_si1496,諆
mrws1_si500,諆
mrws1_sx140,諆
mrws1_sx230,諆
mrws1_sx320,諆
mrws1_sx410,諆
mrws1_sx50,諆
mtaa0_si1285,諆
mtaa0_si1915,諆
mtaa0_si596,諆
mtaa0_sx115,諆
mtaa0_sx205,諆
mtaa0_sx295,諆
mtaa0_sx385,諆
mtdt0_si1994,諆
mtdt0_si2254,諆
mtdt0_si994,諆
mtdt0_sx184,諆
mtdt0_sx274,諆
mtdt0_sx364,諆
mtdt0_sx94,諆
mteb0_si1133,諆
mteb0_si2064,諆
mteb0_si503,諆
mteb0_sx143,諆
mteb0_sx233,諆
mteb0_sx323,諆
mteb0_sx413,諆
mteb0_sx53,諆
mthc0_si1015,諆
mthc0_si1645,諆
mthc0_si2275,諆
mthc0_sx115,諆
mthc0_sx205,諆
mthc0_sx295,諆
mthc0_sx385,諆
mwjg0_si1124,諆
mwjg0_si1754,諆
mwjg0_si494,諆
mwjg0_sx134,諆
mwjg0_sx224,諆
mwjg0_sx314,諆
mwjg0_sx404,諆
fdhc0_si1559,諆
fdhc0_si2189,諆
fdhc0_si929,諆
fdhc0_sx119,諆
fdhc0_sx209,諆
fdhc0_sx299,諆
fdhc0_sx389,諆
felc0_si1386,諆
felc0_si2016,諆
felc0_si756,諆
felc0_sx126,諆
felc0_sx216,諆
felc0_sx306,諆
felc0_sx396,諆
fjlm0_si1043,諆
fjlm0_si1673,諆
fjlm0_si2303,諆
fjlm0_sx143,諆
fjlm0_sx233,諆
fjlm0_sx323,諆
fjlm0_sx413,諆
fjlm0_sx53,諆
fmgd0_si1564,諆
fmgd0_si2194,諆
fmgd0_si934,諆
fmgd0_sx124,諆
fmgd0_sx214,諆
fmgd0_sx304,諆
fmgd0_sx394,諆
fmld0_si2185,諆
fmld0_si822,諆
fmld0_si925,諆
fmld0_sx115,諆
fmld0_sx205,諆
fmld0_sx295,諆
fmld0_sx385,諆
fnlp0_si1308,諆
fnlp0_si1938,諆
fnlp0_si678,諆
fnlp0_sx138,諆
fnlp0_sx228,諆
fnlp0_sx318,諆
fnlp0_sx408,諆
fnlp0_sx48,諆
fpas0_si1272,諆
fpas0_si2204,諆
fpas0_si944,諆
fpas0_sx134,諆
fpas0_sx224,諆
fpas0_sx314,諆
fpas0_sx404,諆
fpkt0_si1538,諆
fpkt0_si2168,諆
fpkt0_si908,諆
fpkt0_sx188,諆
fpkt0_sx278,諆
fpkt0_sx368,諆
fpkt0_sx98,諆
mbpm0_si1577,諆
mbpm0_si1584,諆
mbpm0_si947,諆
mbpm0_sx137,諆
mbpm0_sx227,諆
mbpm0_sx317,諆
mbpm0_sx407,諆
mbpm0_sx47,諆
mcmj0_si1094,諆
mcmj0_si464,諆
mcmj0_si602,諆
mcmj0_sx104,諆
mcmj0_sx194,諆
mcmj0_sx284,諆
mcmj0_sx374,諆
mdab0_si1039,諆
mdab0_si1669,諆
mdab0_si2299,諆
mdab0_sx139,諆
mdab0_sx229,諆
mdab0_sx319,諆
mdab0_sx409,諆
mdab0_sx49,諆
mgrt0_si1450,諆
mgrt0_si2080,諆
mgrt0_si820,諆
mgrt0_sx100,諆
mgrt0_sx190,諆
mgrt0_sx280,諆
mgrt0_sx370,諆
mjdh0_si1354,諆
mjdh0_si1984,諆
mjdh0_si724,諆
mjdh0_sx184,諆
mjdh0_sx274,諆
mjdh0_sx364,諆
mjdh0_sx94,諆
mjln0_si1449,諆
mjln0_si2079,諆
mjln0_si819,諆
mjln0_sx189,諆
mjln0_sx279,諆
mjln0_sx369,諆
mjln0_sx99,諆
mjmp0_si1535,諆
mjmp0_si1791,諆
mjmp0_si905,諆
mjmp0_sx185,諆
mjmp0_sx275,諆
mjmp0_sx365,諆
mjmp0_sx95,諆
mklt0_si1213,諆
mklt0_si1843,諆
mklt0_si583,諆
mklt0_sx133,諆
mklt0_sx223,諆
mklt0_sx313,諆
mklt0_sx403,諆
mlll0_si1363,諆
mlll0_si1993,諆
mlll0_si733,諆
mlll0_sx103,諆
mlll0_sx193,諆
mlll0_sx283,諆
mlll0_sx373,諆
mlnt0_si1574,諆
mlnt0_si1902,諆
mlnt0_si642,諆
mlnt0_sx102,諆
mlnt0_sx192,諆
mlnt0_sx282,諆
mlnt0_sx372,諆
mnjm0_si1580,諆
mnjm0_si2210,諆
mnjm0_si950,諆
mnjm0_sx140,諆
mnjm0_sx230,諆
mnjm0_sx320,諆
mnjm0_sx410,諆
mnjm0_sx50,諆
mpam0_si1189,諆
mpam0_si1819,諆
mpam0_si1961,諆
mpam0_sx109,諆
mpam0_sx199,諆
mpam0_sx289,諆
mpam0_sx379,諆
mtas1_si1473,諆
mtas1_si2098,諆
mtas1_si838,諆
mtas1_sx118,諆
mtas1_sx208,諆
mtas1_sx298,諆
mtas1_sx388,諆
mtls0_si1370,諆
mtls0_si2000,諆
mtls0_si740,諆
mtls0_sx110,諆
mtls0_sx200,諆
mtls0_sx290,諆
mtls0_sx380,諆
mwbt0_si1553,諆
mwbt0_si2183,諆
mwbt0_si923,諆
mwbt0_sx113,諆
mwbt0_sx203,諆
mwbt0_sx293,諆
mwbt0_sx383,諆
mwew0_si1361,諆
mwew0_si1991,諆
mwew0_si731,諆
mwew0_sx101,諆
mwew0_sx191,諆
mwew0_sx281,諆
mwew0_sx371,諆
